Company|TypeName|Inches|Memory|OpSys|Price|Screen_Resolution_height|touchscreen|full_hd|IPS|4k_ultra|quad|retina|Cpu_GHz|Cpu_Intel|Processor_product_line|Cpu_generation|Cpu_intel_letter|Ram_GB|Gpu_INA|Gpu_Type|Gpu_Number|GPU_brand|Weight_kg
Dell|Notebook|15.6|256GB SSD|Windows 10|42624.0|1080.0|0|1|0|0|0|0|1.6|1|Core i5|8|U|8|AMD|radeon|530|Amd|2.2
Dell|2 in 1 Convertible|13.3|512GB SSD|Windows 10|68145.12|1080.0|1|1|0|0|0|0|1.8|1|Core i7|8|U|16|Intel|uhd graphics|620|Intel|1.62
Dell|2 in 1 Convertible|31.6|128GB SSD|Windows 10|32127.84|768.0|1|0|0|0|0|0|1.0|1|Core M|7||4|Intel|hd graphics|615|Intel|1.39
Acer|Notebook|14|32GB Flash Storage|Chrome OS|18594.72|768.0|0|0|0|0|0|0|1.6|1|Celeron Dual Core|3|N|4|Intel|hd graphics|400|Intel|1.68
HP|Notebook|14|256GB SSD|Windows 10|64202.4|1080.0|0|1|0|0|0|0|2.5|1|Core i5|7|U|4|Intel|hd graphics|620|Intel|1.95
HP|Ultrabook|13.3|512GB SSD|Windows 10|109170.72|2160.0|0|0|1|1|0|0|2.7|1|Core i7|7|U|16|Intel|hd graphics|620|Intel|1.3
Asus|Notebook|14|32GB Flash Storage|Windows 10|15877.44|1080.0|0|1|0|0|0|0|1.1|1|Celeron Dual Core|3|N|4|Intel|hd graphics|500|Intel|1.5
Lenovo|Notebook|15.6|1TB HDD|Windows 10|47898.72|1080.0|0|1|1|0|0|0|2.6|1|Core i7|6|HQ|8|Nvidia|geforce gtx|960M|Nvidia|2.6
HP|Notebook|13.3|256GB SSD|Windows 10|63349.92|1080.0|0|1|1|0|0|0|2.5|1|Core i5|7|U|8|Intel|hd graphics|620|Intel|1.34
Lenovo|Gaming|15.6|128GB SSD +  1TB HDD|No OS|43103.52|1080.0|0|1|1|0|0|0|2.5|1|Core i5|7|HQ|8|Nvidia|geforce gtx|1050|Nvidia|2.4
MSI|Gaming|15.6|256GB SSD|Windows 10|54757.9872|1080.0|0|1|0|0|0|0|2.5|1|Core i5|7|HQ|8|Nvidia|geforce gtx|1050|Nvidia|2.2
HP|Notebook|15.6|128GB SSD +  1TB HDD|Windows 10|26586.72|1080.0|0|1|0|0|0|0|2.0|1|Core i3|6|U|4|AMD|radeon|520|Amd|2.1
Toshiba|Notebook|15.6|500GB HDD|Windows 10|26053.92|768.0|0|0|0|0|0|0|2.4|1|Core i3|7|U|4|Intel|hd graphics|620|Intel|5.4
Asus|2 in 1 Convertible|15.6|2TB HDD|Windows 10|44701.92|1080.0|1|1|0|0|0|0|2.7|1|Core i7|7|U|12|Nvidia|geforce|940MX|Nvidia|2.3
